#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415B9F9DB
#Date Time: 2026-04-23 14:45:11.808
#Start: 1 Hz
#Stop: 5000 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 8 
#Channel: Channel 1
#Range: 5.17265 V
#Offset: -3.99268e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.17492 V
#Offset: 6.18367e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,-0.007252859173975374,-6.939358385411976,-3.497570912684523
1.088904268000136,-0.007664005233326021,-6.938120568213666,-3.447514332267303
1.185712504868911,-0.007412156124409864,-6.923312515834127,-3.406572691875617
1.291127407172888,-0.007612229801308658,-6.927344411287079,-3.46790446797165
1.405914144202507,-0.006691542458288804,-6.928927550011029,-3.401208370136914
1.530905912063868,-0.007244855382482311,-6.918957340995444,-3.462107931437565
1.667009981552986,-0.007514254358928639,-6.930454828556779,-3.485179744805823
1.815214283711872,-0.007008921706315815,-6.937846879456625,-3.359789632494007
1.976594580868665,-0.007976945864474843,-6.944035297933696,-3.422233151271639
2.152322275213828,-0.00799819131531455,-6.931263573091981,-3.451868433215488
2.3436729115921,-0.007941961784463429,-6.93200358771498,-3.400200112897735
2.55203543622894,-0.008481311849727011,-6.957079765922281,-3.434650264358389
2.77892227859728,-0.007787533713117727,-6.926285656705281,-3.418618716366154
3.025980329605241,-0.007490539685342225,-6.928365965000531,-3.57467560936503
3.295002895791604,-0.007295987084815465,-6.937266245703004,-3.469813405976595
3.58794271630028,-0.007033063910389259,-6.951471125387889,-3.541302881701142
3.906926137119375,-0.007476434129732807,-6.897743163189035,-3.545193564225201
4.254268545470571,-0.008543144313497456,-6.928469868281705,-3.499469503231467
4.632491176381629,-0.007784148747124908,-6.942688230910266,-3.622942854994079
5.044339413434921,-0.007382804706112522,-6.963301047444672,-3.587897252321291
5.492802716530586,-0.008030566647499883,-6.930044811045475,-3.684149591337135
5.981136321312894,-0.006957554939184837,-6.937202673453927,-3.662013992508648
6.512884867768241,-0.008071766240367099,-6.935468995043419,-3.588961030293511
7.09190812950633,-0.00823066738008124,-6.919773904251495,-3.65367689359239
7.722409030484302,-0.007337682737863509,-6.94057348852091,-3.643531113211083
8.408964152537147,-0.007394025538269754,-6.943070364312214,-3.742306205075209
9.156556955157843,-0.007148335299818648,-6.895722843817767,-3.739100112510421
9.970613948657702,-0.007204183115921407,-6.914909753257056,-3.933170225953413
10.85704408327505,-0.007559735369267568,-6.90420648407514,-3.978376510689017
11.82228164014382,-0.008185346962838493,-6.880651023050647,-3.896038357189553
12.87333293545225,-0.00847238436830413,-6.851705805122784,-4.081898176522174
14.01782717680067,-0.00794963809169019,-6.847519052484603,-4.117580344367703
15.26407184090652,-0.007904775381245682,-6.840976372008173,-4.053079737813363
16.6211129746238,-0.008508411939356865,-6.788796846117641,-4.205900176028116
18.09880085698029,-0.007301648931455627,-6.766920848613313,-4.222158075901842
19.70786149885033,-0.007307698511410621,-6.706726075676565,-4.394260643734285
21.45997449925365,-0.007436839923417852,-6.689616455891612,-4.377671216797602
23.36785782341138,-0.007582452537515348,-6.673507528868374,-4.649142124450389
25.44536011793301,-0.007259676405724915,-6.613903495951514,-4.545978705423612
27.70756123321769,-0.008580156850559106,-6.539571411175475,-4.699850195535355
30.17088168272581,-0.00822184377635778,-6.408660101584788,-4.834444610665016
32.85320183364722,-0.008323998767441311,-6.327426510269061,-4.957090053410557
35.77399169412834,-0.008205414058909295,-6.196108933768399,-5.018832376380551
38.95445223913775,-0.008343485272021993,-6.034395076431725,-5.456523505738164
42.41766930080449,-0.009397458153681308,-5.835057463322666,-5.887510463773637
46.18878114026435,-0.009324073536188186,-5.618693980713831,-5.952441425309625
50.29516091735803,-0.007998010098021605,-5.345795759878708,-6.091195152559853
54.76661538266474,-0.008714657513574389,-4.983434828254556,-6.407382598829163
59.63560123410552,-0.01035920101668824,-4.562312778608856,-6.783237784085856
64.93746070857163,-0.01016115627414462,-4.041559235861071,-7.294625408845257
70.71067811865476,-0.01086832160680194,-3.341521887972445,-7.776903729798368
76.99715919658696,-0.008671561754138078,-2.427995469706202,-8.684800210948438
83.84253527304941,-0.008876345233292511,-1.17916002532041,-9.990669569701801
91.29649449877542,-0.01041565784235182,0.7473184894275484,-12.56103252224798
99.41314251316741,-0.01115090182255267,4.383176478479324,-27.51760803438057
108.2513951778937,-0.005274261208636755,6.955307055439974,-93.18186756570543
117.8754062261777,-0.004994296001561566,6.501233412554179,-127.5958478410129
128.3550329319345,-0.005604777097962432,5.027570510187962,-155.4618758079222
139.7663431788814,-0.0063333857306186,2.090762399370315,-176.8513287821136
152.1921676102556,-0.008455120159133547,-1.775230778826689,-184.7169072877321
165.7227008669993,-0.005332623708488358,-5.550715827224569,-185.9852388840835
180.4561562785853,-0.005309410679232063,-8.417540508860217,-186.9141672328138
196.4994787586509,-0.006658624410604948,-10.95694924990516,-188.1390986681269
213.969121080097,-0.006747407690063236,-13.26811971890993,-188.518195890962
232.9918891643553,-0.00773527894253223,-15.32059698030277,-189.1123728809935
253.705862520481,-0.007635696703174776,-17.20821490484605,-190.5396526144365
276.2613965152074,-0.007182182186880995,-19.16746065318254,-190.3193052239334
300.8222137490871,-0.006546296871824371,-20.95980282705487,-192.0788309709338
327.5665924606298,-0.005644502521183625,-22.24105855154302,-191.843576435604
356.6886605846406,-0.00514813947944143,-24.11361851854149,-192.9053400007259
388.3998048578666,-0.005671622110768217,-25.93451001306217,-194.3917351998189
422.9302052001509,-0.005589851263755804,-27.3005152399697,-213.0250671439828
460.5305055086172,-0.006453926199633206,-28.90640216974445,-195.9430693071669
501.4736329925933,-0.005998259266217476,-29.91585833064505,-212.8170697719758
546.0567792551683,-0.005903921363145758,-31.38809573153613,-217.1317427305783
594.6035575013606,-0.006071781366619232,-32.81474625969274,-231.1967068636464
647.4663515312955,-0.006160344296766139,-33.98526699194321,-251.4617536610476
705.0288735689037,-0.006158533853745269,-34.88451956613452,-257.1930469035849
767.708949492507,-0.006537714493704479,-35.41463189593962,-293.4398278898678
835.9615516842912,-0.006605913190010481,-36.82280060916237,-223.3667508963393
910.2821015130405,-0.006796108044573624,-36.88311170395378,-297.0659607946029
991.2100654216822,-0.006589223450618001,-36.53518596649018,-280.7695454869162
1079.332870722362,-0.006364504474194161,-37.96887620311927,-323.0486755381138
1175.290169522419,-0.006548785099764901,-38.11801893654928,-262.8143081300692
1279.778481731564,-0.006238146898651624,-38.22425948094961,-309.1013841513932
1393.556250852234,-0.006197685948249958,-37.2039432002111,-304.5844780245133
1517.449349251264,-0.005344658436474182,-37.6985319706812,-318.6022871070055
1652.35707287373,-0.006947048922325724,-38.11215225558351,-306.8397968792574
1799.258668912415,-0.006763235133315899,-37.04016814888573,-285.0571961006217
1959.220443814972,-0.008160898618912987,-36.74521532056671,-266.7466268336759
2133.403503223242,-0.008725654947655877,-37.53249746482935,-327.1724374567156
2323.072180026229,-0.01132962542874313,-38.36591906396616,-327.5043899548322
2529.60321170294,-0.008235707338339386,-37.27671632350568,-306.1894922957861
2754.495733570181,-0.005533365908449378,-36.63577032648371,-0.5157244499530336
2999.382160472731,-0.00593094272746684,-37.66843244074429,-349.2511576632022
3266.040035902224,-0.002651958350549301,-35.75066994836634,-5.082431187787455
3556.404934553247,0.001817710779269792,-35.62525708869923,-339.2703863112328
3872.584511971773,0.005290431020918748,-36.17415540516371,-0.5691976473285001
4216.873803277285,0.008445339513981836,-36.14672989811913,-0.2117223559832565
4591.771882006599,0.01246129680208967,-34.85325007482423,-358.2117748845558
5000,0.01626680155136807,-34.18646787903408,-13.36419051002157
