#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415B9F9DB
#Date Time: 2026-04-23 14:50:55.641
#Start: 1 Hz
#Stop: 5000 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 8 
#Channel: Channel 1
#Range: 5.17265 V
#Offset: -3.99268e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.17492 V
#Offset: 6.18367e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,-0.007084107624412092,-9.546674145563944,-2.285887070069833
1.088904268000136,-0.006193870254159721,-9.53614854932291,-2.049056738035574
1.185712504868911,-0.007258918907425727,-9.536415947452507,-2.218575830582253
1.291127407172888,-0.007463513283270305,-9.540716079506597,-2.258896647150166
1.405914144202507,-0.006112786007354086,-9.535317835398079,-2.16591894303744
1.530905912063868,-0.005962384602403097,-9.532391169737979,-2.202644523908376
1.667009981552986,-0.006307485278624677,-9.525489382588026,-2.184546103730593
1.815214283711872,-0.006247457680126585,-9.52841810239082,-2.132268431873157
1.976594580868665,-0.006871988048432116,-9.545435279018974,-2.128769435609926
2.152322275213828,-0.005602964560894532,-9.513532205596485,-2.12907712135766
2.3436729115921,-0.005141365773472426,-9.528069906415128,-2.321284280026873
2.55203543622894,-0.006221865633991677,-9.524137951383238,-2.21191427670302
2.77892227859728,-0.006995597093690553,-9.522403856296091,-2.31377243236588
3.025980329605241,-0.006304604709160572,-9.533329380426805,-2.303865158285817
3.295002895791604,-0.005166279819889213,-9.513383778956646,-2.173843808676168
3.58794271630028,-0.005006000817664716,-9.552667673526196,-2.282580992762377
3.906926137119375,-0.00575740511122058,-9.522890220232664,-2.329338295550741
4.254268545470571,-0.005690108399600476,-9.525146025826643,-2.302472266847843
4.632491176381629,-0.005155600453120621,-9.540250570932741,-2.30843178552233
5.044339413434921,-0.005188882203927891,-9.531030793454336,-2.201231138416844
5.492802716530586,-0.006739154122998487,-9.525926415446905,-2.40639912852021
5.981136321312894,-0.005250271014819945,-9.526456622687256,-2.37396569842157
6.512884867768241,-0.006305066305140609,-9.543779452683451,-2.476262632162893
7.09190812950633,-0.005830460623370082,-9.544695513919132,-2.371835565819268
7.722409030484302,-0.005129760319506718,-9.522575068528047,-2.478261327814778
8.408964152537147,-0.005178277893405218,-9.498947680605141,-2.486274307514719
9.156556955157843,-0.006418386860458399,-9.518132999972318,-2.504190534786435
9.970613948657702,-0.005332161627746716,-9.459894553735232,-2.392014044710962
10.85704408327505,-0.004931374754770609,-9.443022863617784,-2.628809100768336
11.82228164014382,-0.005705976840201394,-9.475931827626189,-2.63831102075352
12.87333293545225,-0.005609431386127543,-9.479036286767846,-2.767604021655778
14.01782717680067,-0.006216042977820229,-9.425633263260863,-2.788217971225521
15.26407184090652,-0.005874778399858154,-9.459665635578149,-2.764769517290404
16.6211129746238,-0.006016539757476758,-9.402798754528099,-2.904717637859997
18.09880085698029,-0.005638219508321353,-9.359963709045307,-2.957953856140094
19.70786149885033,-0.005480048560900985,-9.304894247010939,-3.185981325200288
21.45997449925365,-0.005328849356195724,-9.276144629945946,-3.191533101008251
23.36785782341138,-0.004844472847590633,-9.229616683723131,-3.39844787588617
25.44536011793301,-0.004488568205510869,-9.164248501641874,-3.53793647601697
27.70756123321769,-0.004145759349758645,-9.082907672494036,-3.676915183144295
30.17088168272581,-0.004116593289181732,-8.974863035238984,-3.608187675444697
32.85320183364722,-0.004893074838332213,-8.894589241411438,-3.907596784515782
35.77399169412834,-0.004421088296011998,-8.701099424621457,-4.025384862761269
38.95445223913775,-0.005216938021677699,-8.479568860999484,-4.561177254061576
42.41766930080449,-0.004397240846802213,-8.319332132535004,-4.63819467898427
46.18878114026435,-0.005509384376627765,-8.047436165249056,-4.825565506288332
