#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415B9F9DB
#Date Time: 2026-04-23 14:53:29.236
#Start: 1 Hz
#Stop: 5000 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 8 
#Channel: Channel 1
#Range: 5.17265 V
#Offset: -3.99268e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.17492 V
#Offset: 6.18367e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1,-0.00494399172554756,-9.280589295512794,-2.082622085539654
1.088904268000136,-0.005222762009882056,-9.272063648597488,-2.018912171720643
1.185712504868911,-0.005742243240716501,-9.27442916958012,-2.076148330552698
1.291127407172888,-0.005997217232904679,-9.279004979723984,-2.146812756536796
1.405914144202507,-0.006033855074734504,-9.277076131236356,-2.125455757781282
1.530905912063868,-0.00566819827873183,-9.290804646513324,-2.138233499176678
1.667009981552986,-0.005914627547621147,-9.263395263180554,-2.13035566547839
1.815214283711872,-0.00596138621331479,-9.283500569062145,-2.161364048947927
1.976594580868665,-0.005345502868119504,-9.300218159722423,-2.126174747810182
2.152322275213828,-0.006002671760675808,-9.288918679913783,-2.089589845062591
2.3436729115921,-0.004994531719001528,-9.286186895475018,-2.263227542908751
2.55203543622894,-0.006514866538070099,-9.277906200743754,-2.226621241075456
2.77892227859728,-0.006073187739719948,-9.298728937288328,-2.226380257520731
3.025980329605241,-0.005796125363478025,-9.301440897757637,-2.121223764143934
3.295002895791604,-0.006416436526092095,-9.301437671052193,-2.194203982728339
3.58794271630028,-0.005983149705198338,-9.282962984937448,-2.320519732054834
3.906926137119375,-0.005878632659947689,-9.296460527337064,-2.183350882304097
4.254268545470571,-0.005469608461023986,-9.279738631566724,-2.253866461605625
4.632491176381629,-0.004736233941918153,-9.268399423273308,-2.271381531845023
5.044339413434921,-0.006606013960806479,-9.271427825455795,-2.26368114680038
5.492802716530586,-0.004480737322299195,-9.271392057986223,-2.299802758021814
5.981136321312894,-0.0056947361819242,-9.279328663062266,-2.46677260863116
6.512884867768241,-0.005535281503593926,-9.259247436807762,-2.396701692457
7.09190812950633,-0.005213281428343232,-9.296451548370811,-2.384143453231133
7.722409030484302,-0.006914286924543104,-9.262400917311856,-2.565924306421408
8.408964152537147,-0.005006432086781481,-9.258401191593414,-2.531464099994025
9.156556955157843,-0.005124418915947971,-9.253900027003898,-2.611038214083781
9.970613948657702,-0.005769733906543114,-9.20918001724332,-2.484285628090632
10.85704408327505,-0.004873736684310807,-9.219893016619789,-2.705482940219682
11.82228164014382,-0.004428401208657028,-9.214446440193813,-2.686875416978495
12.87333293545225,-0.004444547400327506,-9.191820948986608,-2.801241686350636
14.01782717680067,-0.003880158676099585,-9.177370866461601,-2.666136627871243
15.26407184090652,-0.004837179535987605,-9.173085961322757,-3.042024907382086
16.6211129746238,-0.004684444486666559,-9.09100239202948,-3.043937372067901
18.09880085698029,-0.004658294643841049,-9.109845931911039,-3.209342244934223
19.70786149885033,-0.004568270661213505,-9.029254249766412,-3.075747780858002
21.45997449925365,-0.004518424235654885,-9.002651653667531,-3.188979276514924
23.36785782341138,-0.005687293529304285,-8.932877184217162,-3.334123501357944
25.44536011793301,-0.00563046334346319,-8.874185205551955,-3.453834005133061
27.70756123321769,-0.005645663108162774,-8.791468129829351,-3.759124457977808
30.17088168272581,-0.00629301922412083,-8.725690489425542,-3.93406243823145
32.85320183364722,-0.007072951857238111,-8.529749875309681,-3.690586143386454
35.77399169412834,-0.006886464096448009,-8.403809236213162,-3.920969851641305
38.95445223913775,-0.006757710772649228,-8.200870092057047,-4.356621142893999
42.41766930080449,-0.007617954269097183,-7.97372625304571,-4.359695251523391
46.18878114026435,-0.007191128348543187,-7.694128894512732,-4.617104182291844
50.29516091735803,-0.007228310034036651,-7.327953407195512,-5.199802363965155
54.76661538266474,-0.008220699100659555,-6.779381263551969,-5.963640994583201
59.63560123410552,-0.006724619108257784,-6.58049999363156,-6.021630308173368
64.93746070857163,-0.008061124625972074,-5.819082097962722,-6.045000884384179
70.71067811865476,-0.006710584021259483,-4.870591432793466,-6.593642187106749
76.99715919658696,-0.005454363485218362,-3.704204573464189,-7.471318060050393
83.84253527304941,-0.006149895501091403,-1.96351237279583,-8.739744795721412
91.29649449877542,-0.007423801714645233,0.5572266945708911,-11.76148085292001
99.41314251316741,-0.008083049247215448,7.068202219644581,-45.08781678866399
108.2513951778937,-0.002807377674573306,7.717587833229501,-117.1639925333725
117.8754062261777,-0.003574674173519181,5.929286850891707,-160.3016192102635
128.3550329319345,-0.004693457226609758,0.9798748617679703,-174.1324934617122
139.7663431788814,-0.005907952900679365,-3.07211204498126,-182.097396089842
152.1921676102556,-0.003611976693915032,-6.77902469308881,-221.1707909055068
165.7227008669993,-0.004275196002838132,-9.77754869853656,-224.1969558681783
180.4561562785853,-0.004932090477384792,-12.35837962303918,-185.8476834063756
196.4994787586509,-0.005226391226565544,-14.78950359622044,-186.2363450597022
213.969121080097,-0.004868973936313726,-16.83399142486657,-187.3249738011775
232.9918891643553,-0.003751614590872984,-18.82514209889675,-187.8814522462244
253.705862520481,-0.003851353670293341,-20.76752166421767,-189.1435720326804
276.2613965152074,-0.003813246029819683,-22.4937947703883,-189.0665232578128
300.8222137490871,-0.004004357949619223,-24.10222335316504,-190.3741080892688
327.5665924606298,-0.003392954377698606,-25.68477600415727,-190.0248049315343
356.6886605846406,-0.003842356240565527,-27.09058637798324,-191.8075535546408
388.3998048578666,-0.005113382144126561,-28.59050065828291,-191.9879280413078
422.9302052001509,-0.004439687424991973,-29.7191466938049,-193.7536766555201
460.5305055086172,-0.00432626475503673,-31.41135718052182,-232.0930331367944
501.4736329925933,-0.004159056831044913,-31.94617867065521,-233.4204493251621
546.0567792551683,-0.003848569099495232,-33.44302451191876,-250.2201150388619
594.6035575013606,-0.004146627652103194,-34.18681339524533,-275.5691229813518
647.4663515312955,-0.004183503896223455,-35.69992090970906,-262.8944229028771
705.0288735689037,-0.003406766146458671,-36.63219628583052,-312.2849311143723
767.708949492507,-0.003948441980073873,-37.12382410064259,-276.7107159516071
835.9615516842912,-0.004259320412872611,-37.85030645000569,-273.9498278532968
910.2821015130405,-0.004804308964554587,-38.28724116717549,-273.8945094541427
991.2100654216822,-0.00422217798137224,-38.23264830641625,-327.8051947693158
1079.332870722362,-0.004031192983076927,-39.49316543134064,-341.103865804731
1175.290169522419,-0.005197804025090677,-39.69436371510567,-311.0453275299826
1279.778481731564,-0.004306293925909579,-39.44874610287382,-351.9865627020366
1393.556250852234,-0.002899944351900007,-37.74871948620057,-293.1354435693523
1517.449349251264,-0.00265154239149128,-37.91745615528303,-313.2711017606834
1652.35707287373,-0.003008690705993525,-36.7985226060098,-326.6551500576679
1799.258668912415,-0.002327565026515382,-37.8616333763691,-351.65604444077
1959.220443814972,-0.002920962794919926,-39.55631373451369,-319.118772537791
